,SOURCE,SYMBOL,SERIES,ISIN_NUMBER
248,NSE,RAMRAT,EQ,INE207E01023
249,NSE,RAMKY,EQ,INE874I01013
250,NSE,RAMCOSYS,EQ,INE246B01019
251,NSE,RAMCOIND,EQ,INE614A01028
252,NSE,RAMCOCEM,EQ,INE331A01037
253,NSE,RAMASTEEL,EQ,INE230R01035
254,NSE,RAMAPHO,EQ,INE809A01032
255,NSE,RAMANEWS,EQ,INE278B01020
256,NSE,RALLIS,EQ,INE613A01020
257,NSE,RADAAN,EQ,INE874F01027
258,NSE,RADHIKAJWE,EQ,INE583V01021
