SOURCE,ISIN_NUMBER,SYMBOL,SERIES
BSE,INE541A01023,GMMPFAUDLR,A
BSE,INE811A01020,KIRLPNU,A
BSE,INE731D01024,KPT,X
BSE,INE718M01022,LAKSHMIEW,X
BSE,INE867A01022,MANUGRAPH,B
BSE,INE098E01026,HARSHILAGR,X
BSE,INE811D01024,MONOT,X
BSE,INE317F01035,NESCO,B
BSE,INE984B01023,INTEGRAEN,X
BSE,INE617A01013,SEMAC,B
BSE,INE435C01024,TEXINFRA,B
BSE,INE274C01019,WENDT,B
BSE,INE953M01033,PSITINFRA,X
BSE,INE809Q01020,GHVINFRA,XT
BSE,INE688D01026,RESPONIND,B
BSE,INE203N01015,SHYMINV,X
BSE,INE272E01027,MAHACORP,X
BSE,INE966A01022,DOLATALGO,B
BSE,INE274F01020,WESTLIFE,A
BSE,INE256A01028,ZEEL,A
BSE,INE308E01029,SVPGLOB,T
BSE,INE178E01026,SKYLMILAR,X
BSE,INE469A01019,BIMETAL,X
BSE,INE561C01019,BHARATGEAR,B
BSE,INE856A01017,BRADYM,X
BSE,INE501N01020,LATIMMETAL,X
BSE,INE205B01031,ELECON,A
BSE,INE266D01021,GRAUWEIL,B
BSE,INE705G01021,HIMTEK,X
BSE,INE524A01029,GABRIEL,A
BSE,INE688E01024,HERCULES,B
BSE,INE598D01035,ALGOQUANT,B
BSE,INE559A01017,IFBIND,B
BSE,INE638A01035,SINGER,X
BSE,INE403C01014,INTLCOMBQ,X
BSE,INE529A01010,FMGOETZE,B
BSE,INE636D01041,JOSTS,X
BSE,INE513A01022,SCHAEFFLER,A
BSE,INE384A01010,RANEHOLDIN,B
BSE,INE568F01017,SNL,X
BSE,INE058D01030,JAIPAN,X
BSE,INE545L01039,MANCREDIT,B
BSE,INE391D01019,TRF,B
BSE,INE765D01022,WPIL,B
BSE,INE717A01029,KENNAMET,B
BSE,INE724D01011,HINDHARD,X
BSE,INE440G01017,TRITONV,X
BSE,INE618D01015,SUDAI,X
BSE,INE603A01013,PRAKASH,A
BSE,INE968D01022,ARSHIYA,Z
BSE,INE536A01023,GRINDWELL,A
BSE,INE651C01018,LAKPRE,Z
BSE,INE441L01015,STANROS,X
BSE,INE727B01026,GENESYS,B
BSE,INE820M01018,VOLKAI,X
BSE,INE383L01019,PARNAXLAB,X
BSE,INE512D01028,GOURMET,X
BSE,INE370E01029,VIVIDHA,B
BSE,INE070K01014,APIS,XT
BSE,INE668L01013,EMERGENT,XT
BSE,INE879E01037,KANANIIND,B
BSE,INE403B01016,GCKL,X
BSE,INE643K01018,ARIHANTSUP,B
BSE,INE416D01022,BLISSGVS,B
BSE,INE189B01011,STYRENIX,A
BSE,INE426A01027,ALEMBICLTD,B
BSE,INE275D01022,AMNPLST,B
BSE,INE489G01022,ANUHPHR,B
BSE,INE737D01021,MODISONLTD,B
BSE,INE462A01022,BAYERCROP,A
BSE,INE320M01019,STARSOURCE,XT
BSE,INE492A01029,HEUBACHIND,B
BSE,INE169A01031,COROMANDEL,A
BSE,INE288B01029,DEEPAKNTR,A
BSE,INE505A01010,DMCC,B
BSE,INE225B01021,FERMENTA,X
BSE,INE077F01035,GOCLCORP,B
BSE,INE693E01016,JAYCH,X
BSE,INE138C01024,KANORICHEM,B
BSE,INE881E01017,KELENRG,X
BSE,INE265B01019,NITTAGELA,X
BSE,INE468C01017,MPAGI,X
BSE,INE321D01016,AGVENTURES,B
BSE,INE602A01031,PCBL,A
BSE,INE841D01013,AMAL,X
BSE,INE752B01024,POLYCHEM,X
BSE,INE277B01014,PUNJABCHEM,B
BSE,INE218N01021,ZR2,X
BSE,INE888C01040,SADHNANIQ,B
BSE,INE659A01023,SUDARSCHEM,A
BSE,INE014B01011,TECILCHEM,B
BSE,INE405A01021,ULTRAMAR,B
BSE,INE687A01016,TRANSPEK,X
BSE,INE351A01035,UNICHEMLAB,B
BSE,INE741A01011,MYSORPETRO,X
BSE,INE150B01039,ALKYLAMINE,A
BSE,INE400A01014,TUTIALKA,X
BSE,INE203A01020,ASTRAZEN,A
BSE,INE607A01022,PRIMO,B
BSE,INE639B01015,TANFACIND,B
BSE,INE636P01011,GUJPETR,X
BSE,INE716M01034,SWADEIN,XT
BSE,INE942C01045,GUJTHEM,B
BSE,INE467X01023,SCBL,XT
BSE,INE987A01010,MAKERSL,X
BSE,INE423K01015,CONTCHM,X
BSE,INE572A01036,JBCHEPHARM,A
BSE,INE374C01017,RAJSPTR,P
BSE,INE046E01025,APTPACK,X
BSE,INE472D01017,BLUECHIPT,X
BSE,INE574A01016,JAGAJITIND,X
BSE,INE133B01027,KESARENT,X
BSE,INE133E01013,TI,A
BSE,INE044N01021,EMERALL,X
BSE,INE615A01025,RAVALSUGAR,X
BSE,INE623A01011,SAKHTISUG,B
BSE,INE711A01022,WALCHANNAG,B
BSE,INE076C01018,IFBAGRO,B
BSE,INE991B01010,KFBL,X
BSE,INE470N01010,CAPRO,X
BSE,INE075D01018,GMBREW,B
BSE,INE625B01014,RANASUG,B
BSE,INE544C01023,PICCASUG,X
BSE,INE480C01038,SDBL,B
BSE,INE557D01015,CJGEL,X
BSE,INE073G01016,ASALCBR,B
BSE,INE976E01023,FOODSIN,B
BSE,INE043C01018,IVP,B
BSE,INE014E01015,KLRFM,X
BSE,INE286E01019,OLYOI,X
BSE,INE588G01021,MLKFOOD,X
BSE,INE339F01021,POLSON,X
BSE,INE075A01022,WIPRO,A
BSE,INE247F01018,ORIBEVER,X
BSE,INE435G01025,DHANUKA,B
BSE,INE910C01018,TTKHLTCARE,B
BSE,INE284B01028,TGVSL,B
BSE,INE891G01011,LIMECHM,X
BSE,INE694E01014,KANPRPLA,B
BSE,INE123C01018,TAINWALCHM,B
BSE,INE048B01035,JAGSNPHARM,B
BSE,INE745B01028,KHAICHEM,B
BSE,INE357P01014,UNTTEMI,P
BSE,INE296D01010,NOL,X
BSE,INE322A01010,GILLETTE,A
BSE,INE469D01013,WIREFABR,X
BSE,INE880B01015,ANSALHSG,X
BSE,INE607B01012,COMPUPN,X
BSE,INE435D01014,MCCHRLS-B,X
BSE,INE757C01021,ADDIND,X
BSE,INE746D01014,PIONRINV,XT
BSE,INE372I01018,ASHNOOR,X
BSE,INE694A01020,UNITECH,B
BSE,INE054A01027,VIPIND,A
BSE,INE296C01020,FIBERWEB,B
BSE,INE724A01017,LKPFIN,XT
BSE,INE706N01017,EASTBUILD,XT
BSE,INE798E01013,MNPLFIN,P
BSE,INE704G01024,BAJAJST,B
BSE,INE845A01028,KIDUJA,X
BSE,INE130F01016,KEYCORP,XT
BSE,INE621C01011,GUJHOTE,X
BSE,INE455H01013,FYNX,XT
BSE,INE651D01016,RASRESOR,X
BSE,INE143I01013,PARMCOS-B,X
BSE,INE726D01016,JINDHOT,X
BSE,INE657D01021,SIMMOND,X
BSE,INE489D01011,BNALTD,X
BSE,INE979B01015,HAWKINCOOK,B
BSE,INE712A01012,WARRENTEA,X
BSE,INE788M01017,COCHMAL,X
BSE,INE553F01035,BESTEAST,X
BSE,INE605D01012,NEAGI,X
BSE,INE684B01029,ISTLTD,B
BSE,INE757A01017,COSMOFIRST,B
BSE,INE800K01014,NEWMKTADV,XT
BSE,INE437A01024,APOLLOHOSP,A
BSE,INE861H01020,NITINCAST,X
BSE,INE641A01013,NEXOME,X
BSE,INE295A01018,EVERESTIND,B
BSE,INE791H01011,IRONWOOD,X
BSE,INE331L01026,MSRINDIA,XT
BSE,INE193B01039,AYMSYNTEX,B
BSE,INE013E01017,PANCARBON,X
BSE,INE734I01027,FINKURVE,B
BSE,INE549B01016,HBLEAS,X
BSE,INE753D01010,SHRICON,XT
BSE,INE668Y01016,TRUSTWAVE,XT
BSE,INE673M01029,SULABEN,X
BSE,INE977E01013,FRONTCAP,XT
BSE,INE060A01024,NAVNETEDUL,B
BSE,INE218C01016,AUSOMENT,B
BSE,INE190F01028,THAKRAL,X
BSE,INE413B01023,RUCHINFRA,B
BSE,INE088E01019,GOLDLEG,X
BSE,INE117F01013,VJTFEDU,X
BSE,INE763D01019,VOLLF,X
BSE,INE040F01033,NETLINK,X
BSE,INE778N01016,TRILIANCE,XT
BSE,INE572G01025,LANCORHOL,T
BSE,INE300B01022,INDINFO,X
BSE,INE521L01030,BANASFN,X
BSE,INE392A01021,VISAKAIND,B
BSE,INE669A01022,INFOMEDIA,B
BSE,INE525B01016,HATHWAYB,X
BSE,INE742B01025,GUFICBIO,B
BSE,INE107J01016,PHOTON,XT
BSE,INE137I01015,GRPLTD,B
BSE,INE802D01023,INDAG,X
BSE,INE159E01026,MMRUBBR-B,X
BSE,INE034D01049,PTL,B
BSE,INE421C01016,TVSSRICHAK,B
BSE,INE367E01033,SEL,X
BSE,INE664D01019,BENARAS,B
BSE,INE026I01010,BHAGWOX,X
BSE,INE01TL01014,BOMOXY-B1,X
BSE,INE145E01017,CRAVATEX,X
BSE,INE463A01038,BERGEPAINT,A
BSE,INE479A01018,CAPRIHANS,X
BSE,INE371A01025,GRAPHITE,A
BSE,INE686A01026,CEMPRO,A
BSE,INE515H01014,EMPIND,X
BSE,INE214F01026,GRAVISSHO,X
BSE,INE276A01018,GARFIBRES,A
BSE,INE925D01014,GARWAMAR,X
BSE,INE426D01013,GOACARBON,B
BSE,INE722D01015,HARDCAS,X
BSE,INE545A01024,HEG,A
BSE,INE310C01029,HINDCOMPOS,B
BSE,INE557A01011,BIRLANU,B
BSE,INE575C01027,INTLCONV,B
BSE,INE364A01020,JAYSREETEA,B
BSE,INE972A01020,KOTIC,T
BSE,INE370A01019,MODRNSH,X
BSE,INE848M01019,MAPROIN,XT
BSE,INE275B01026,HUHTAMAKI,B
BSE,INE940N01012,PREMSYN,X
BSE,INE849C01026,SHALPAINTS,B
BSE,INE896E01023,SINNAR,XT
BSE,INE832D01020,HINDMILL,X
BSE,INE195A01028,SUPREMEIND,A
BSE,INE077P01034,THACKER,X
BSE,INE961E01017,TRADWIN,XT
BSE,INE710A01016,VSTIND,A
BSE,INE804A01025,SWASTIVI,X
BSE,INE856D01011,MADHUSE,X
BSE,INE457N01025,YAMNINV,XT
BSE,INE946K01023,PREMCAP,XT
BSE,INE679T01013,ZMILGFIN,X
BSE,INE742C01031,JINDRILL,B
BSE,INE302E01014,SAKTHIFIN,X
BSE,INE065D01027,AEROENTER,B
BSE,INE047E01031,JMDVL,X
BSE,INE705C01020,SHIVATEX,B
BSE,INE848D01018,VBDESAI,X
BSE,INE527B01020,QUADRANT,XT
BSE,INE609B01018,1STCUS,X
BSE,INE344D01018,KAMANWALA,X
BSE,INE549D01012,WSFX,X
BSE,INE096I01021,ANJANIFOODS,X
BSE,INE635I01018,PARSHWANA,X
BSE,INE570N01025,MILLENNIUM,XT
BSE,INE613B01010,ICDSLTD,B
BSE,INE477A01020,CANFINHOME,A
BSE,INE050B01023,IVC,B
BSE,INE721A01047,SHRIRAMFIN,A
BSE,INE121A01024,CHOLAFIN,A
BSE,INE910D01024,BOMTALKIES,X
BSE,INE088P01015,ICONIKSPEV,XT
BSE,INE709A01018,VLSFINANCE,B
BSE,INE429D01017,INDCEMCAP,X
BSE,INE556D01017,ADMANUM,X
BSE,INE240B01012,MEHIF,X
BSE,INE661M01016,INTRGLB,X
