Date,EPS,EPS Growth %,EBIT,ROCE %,ROE %,ROA %,D/E Ratio,OPM %,CCC (Days),Capital Employed,Shareholder Equity
2023-12-31,0.42,,3723.85,,,,,6.7324596451973795,,,
2024-03-31,0.49,,3667.79,2.0956402587543983,0.6643939268823337,0.22363842171576326,0.9461770077196081,6.24971565403151,57.73292889921777,175020.02000000002,92035.76
2024-06-30,0.77,,4099.6900000000005,,,,,7.48509395142245,,,
2024-09-30,0.67,,4234.67,2.2418257114936697,0.9245446441526448,0.2967696739386305,1.1025510754203018,7.855844136811051,81.37834085676724,188893.81,90147.08
2024-12-31,0.26,-38.095238095238095,3451.35,,,,,6.433288659659299,,,
2025-03-31,1.04,112.24489795918369,4007.27,2.07306988444203,1.4268018856717963,0.46558132076903364,1.0398314658071992,7.128076699839251,64.96126789688569,193301.25,91169.63
2025-06-30,1.67,116.88311688311688,4899.65,,,,,9.21365779760548,,,
2025-09-30,2.49,271.64179104477614,5866.38,2.996008355798961,3.266812221095281,1.086178811908953,1.0073285917556372,9.995656788487302,66.92806315965599,195806.53000000003,94947.3
